"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2023-01-03,NA,"X2","HRM",80
2023-01-03,"07:03:00","X2","HRX",95
2023-01-03,"14:35:00","X2","HRN",63
2023-01-03,NA,"X4","TM",14.4
2023-01-03,"12:09:00","X4","TX",17.7
2023-01-03,"23:54:00","X4","TN",11.8
2023-01-03,NA,"X4","HRM",69
2023-01-03,"06:56:00","X4","HRX",84
2023-01-03,"12:02:00","X4","HRN",57
2023-01-03,NA,"X4","PM",1025.5
2023-01-03,"23:34:00","X4","PX",1028.6
2023-01-03,"01:00:00","X4","PN",1022.5
2023-01-03,NA,"X4","PPT",0.4
2023-01-03,NA,"X4","RS24h",6.4
2023-01-03,NA,"X4","VVM10",1.3
2023-01-03,NA,"X4","DVM10",287
2023-01-03,"14:06:00","X4","VVX10",5.1
2023-01-03,"14:06:00","X4","DVVX10",237
2023-01-03,NA,"X8","TM",13.5
2023-01-03,"13:02:00","X8","TX",18.1
2023-01-03,"22:45:00","X8","TN",9.6
2023-01-03,NA,"X8","HRM",75
2023-01-03,"06:00:00","X8","HRX",100
2023-01-03,"14:56:00","X8","HRN",54
2023-01-03,NA,"X8","PM",1019.7
2023-01-03,"23:30:00","X8","PX",1022.7
2023-01-03,"00:52:00","X8","PN",1016.7
2023-01-03,NA,"X8","PPT",0.3
2023-01-03,NA,"X8","RS24h",6.3
2023-01-03,NA,"X8","VVM10",1.5
2023-01-03,NA,"X8","DVM10",299
2023-01-03,"20:10:00","X8","VVX10",6.4
2023-01-03,"20:10:00","X8","DVVX10",326
2023-01-04,NA,"D5","TM",11.7
2023-01-04,"14:14:00","D5","TX",17.7
2023-01-04,"06:06:00","D5","TN",9.1
2023-01-04,NA,"D5","HRM",66
2023-01-04,"00:01:00","D5","HRX",87
2023-01-04,"13:52:00","D5","HRN",39
2023-01-04,NA,"D5","PM",983.1
2023-01-04,"10:10:00","D5","PX",984.7
2023-01-04,"03:53:00","D5","PN",982.3
2023-01-04,NA,"D5","PPT",0
2023-01-04,NA,"D5","RS24h",8.9
2023-01-04,NA,"D5","VVM10",3.5
2023-01-04,NA,"D5","DVM10",335
2023-01-04,"00:10:00","D5","VVX10",7.6
2023-01-04,"00:10:00","D5","DVVX10",338
2023-01-04,NA,"X2","TM",10.9
2023-01-04,"11:35:00","X2","TX",16.6
2023-01-04,"07:15:00","X2","TN",7.3
2023-01-04,NA,"X2","HRM",80
2023-01-04,"07:30:00","X2","HRX",94
2023-01-04,"11:38:00","X2","HRN",54
2023-01-04,NA,"X4","TM",13
2023-01-04,"14:45:00","X4","TX",16.8
2023-01-04,"06:23:00","X4","TN",10.2
2023-01-04,NA,"X4","HRM",66
2023-01-04,"05:33:00","X4","HRX",79
2023-01-04,"12:12:00","X4","HRN",52
2023-01-04,NA,"X4","PM",1028.5
2023-01-04,"10:30:00","X4","PX",1030.2
2023-01-04,"17:40:00","X4","PN",1027.7
2023-01-04,NA,"X4","PPT",0
2023-01-04,NA,"X4","RS24h",8.8
2023-01-04,NA,"X4","VVM10",0.9
2023-01-04,NA,"X4","DVM10",211
2023-01-04,"17:29:00","X4","VVX10",4.1
2023-01-04,"17:29:00","X4","DVVX10",256
2023-01-04,NA,"X8","TM",11.7
2023-01-04,"13:32:00","X8","TX",18
2023-01-04,"06:36:00","X8","TN",7.8
