"codi_districte","nom_districte","codi_barri","nom_barri","codi_aeb","codi_seccio_censal","geometria_etrs89","geometria_wgs84"
"01","Ciutat Vella","01","el Raval","005","011","POLYGON ((430435.230992974 4581250.0234301, 430372.907575912 4581322.08691547, 430351.001417901 4581301.92809359, 430324.129234817 4581278.54631186, 430283.349965273 4581244.10164292, 430255.036809382 4581224.10387213, 430258.052746218 4581216.23484937, 430237.649731008 4581213.99901252, 430215.352668849 4581205.84719177, 430183.243560186 4581191.70745029, 430146.466453771 4581177.77374601, 430123.821410933 4581172.03792763, 430080.206290568 4581156.24427821, 430062.668237206 4581149.27141928, 430045.488187723 4581142.79055742, 430019.914169191 4581140.0537619, 430030.055085417 4581129.71568271, 430121.779294879 4581032.09896711, 430148.544077914 4581005.33475802, 430188.360465183 4581054.52643219, 430211.120709493 4581085.52024546, 430233.704956374 4581116.83306008, 430240.215027547 4581125.86000665, 430246.375072526 4581131.59795655, 430279.549285906 4581158.88168734, 430294.740402615 4581173.75656368, 430308.863504385 4581186.74144885, 430310.505514664 4581188.05643553, 430336.289630657 4581203.01222732, 430346.307684445 4581209.91614625, 430356.981759474 4581219.4930595, 430358.437813529 4581226.29204676, 430387.552856274 4581232.11981348, 430435.230992974 4581250.0234301))","POLYGON ((2.16805802316478 41.3797666114951, 2.16730447825521 41.380410274233, 2.16704483800364 41.3802268140338, 2.16672618563684 41.3800138950416, 2.16624250658224 41.3797001303439, 2.16590623885232 41.3795175629848, 2.16594320891876 41.3794469505736, 2.1656994876867 41.3794250443827, 2.16543379890264 41.3793496900002, 2.16505146874148 41.3792195523746, 2.16461329692816 41.3790908639703, 2.16434317112359 41.3790372370513, 2.16382344850981 41.3788911998713, 2.16361453557102 41.3788268733779, 2.16340984721222 41.3787670088939, 2.16310435331258 41.3787401356867, 2.16322681019621 41.3786479057817, 2.16433488618514 41.3777766735466, 2.16465801483494 41.3775379405038, 2.16512845786734 41.3779844498924, 2.1653970491556 41.3782655758147, 2.16566350148404 41.3785495590042, 2.16574030861525 41.3786314263161, 2.16581330892217 41.3786836402671, 2.16620686181987 41.3789322514682, 2.16638680447452 41.3790675409842, 2.16655419396629 41.3791857151576, 2.16657367778824 41.3791977010499, 2.16688028319373 41.3793346359745, 2.16699928511233 41.3793976847151, 2.16712582478129 41.379484864946, 2.16714245495742 41.3795462273405, 2.16748994297415 41.3796012356556, 2.16805802316478 41.3797666114951))"
"01","Ciutat Vella","01","el Raval","005","012","POLYGON ((430163.225359148 4581291.53859349, 430144.182609298 4581322.58974029, 430040.948577731 4581316.97056483, 430019.914169191 4581140.0537619, 430045.488187723 4581142.79055742, 430062.668237206 4581149.27141928, 430080.206290568 4581156.24427821, 430123.821410933 4581172.03792763, 430146.466453771 4581177.77374601, 430183.243560186 4581191.70745029, 430215.352668849 4581205.84719177, 430184.489077684 4581256.59842962, 430163.225359148 4581291.53859349))","POLYGON ((2.16480058854703 41.3801169627725, 2.16456929441192 41.3803949775475, 2.1633354565845 41.3803353980017, 2.16310435331258 41.3787401356867, 2.16340984721222 41.3787670088939, 2.16361453557102 41.3788268733779, 2.16382344850981 41.3788911998713, 2.16434317112359 41.3790372370513, 2.16461329692816 41.3790908639703, 2.16505146874148 41.3792195523746, 2.16543379890264 41.3793496900002, 2.16505888714622 41.3798041130638, 2.16480058854703 41.3801169627725))"
"01","Ciutat Vella","01","el Raval","005","013","POLYGON ((430372.907575912 4581322.08691547, 430359.360702618 4581337.75102098, 430227.311637643 4581327.48107625, 430211.631629924 4581326.26120155, 430144.182609298 4581322.58974029, 430163.225359148 4581291.53859349, 430184.489077684 4581256.59842962, 430215.352668849 4581205.84719177, 430237.649731008 4581213.99901252, 430258.052746218 4581216.23484937, 430255.036809382 4581224.10387213, 430283.349965273 4581244.10164292, 430324.129234817 4581278.54631186, 430351.001417901 4581301.92809359, 430372.907575912 4581322.08691547))","POLYGON ((2.16730447825521 41.380410274233, 2.16714068266631 41.3805501835423, 2.16556279982234 41.3804462452639, 2.16537543641939 41.3804338983591, 2.16456929441192 41.3803949775475, 2.16480058854703 41.3801169627725, 2.16505888714622 41.3798041130638, 2.16543379890264 41.3793496900002, 2.1656994876867 41.3794250443827, 2.16594320891876 41.3794469505736, 2.16590623885232 41.3795175629848, 2.16624250658224 41.3797001303439, 2.16672618563684 41.3800138950416, 2.16704483800364 41.3802268140338, 2.16730447825521 41.380410274233))"
"01","Ciutat Vella","01","el Raval","006","014","POLYGON ((430406.555865651 4581358.94564091, 430324.760700986 4581462.33727651, 430255.986280431 4581408.5168341, 430253.852267725 4581406.8898514, 430189.3972276 4581400.82436665, 430227.311637643 4581327.48107625, 430359.360702618 4581337.75102098, 430389.429717415 4581340.08978067, 430406.555865651 4581358.94564091))","POLYGON ((2.16770261672522 41.3807451604176, 2.16671260527435 41.3816692973887, 2.16589636921391 41.3811785948824, 2.16587103733758 41.3811637561757, 2.16510096459999 41.3811035363262, 2.16556279982234 41.3804462452639, 2.16714068266631 41.3805501835423, 2.16749998456018 41.3805738500365, 2.16770261672522 41.3807451604176))"
"01","Ciutat Vella","01","el Raval","006","015","POLYGON ((430155.971749015 4581465.64962265, 430128.97105634 4581503.7418318, 430070.183733635 4581462.34530763, 430057.37475454 4581464.76040942, 430053.362472166 4581429.29744727, 430040.948664752 4581327.87956303, 430040.948577731 4581316.97056483, 430144.182609298 4581322.58974029, 430211.631629924 4581326.26120155, 430227.311637643 4581327.48107625, 430189.3972276 4581400.82436665, 430176.269431884 4581426.22146721, 430155.971749015 4581465.64962265))","POLYGON ((2.16469378216591 41.3816844958517, 2.16436650558277 41.3820252358133, 2.16366827845828 41.3816472831553, 2.1635148252655 41.3816679217918, 2.16347093831202 41.3813481694928, 2.16333419827652 41.3804336518629, 2.1633354565845 41.3803353980017, 2.16456929441192 41.3803949775475, 2.16537543641939 41.3804338983591, 2.16556279982234 41.3804462452639, 2.16510096459999 41.3811035363262, 2.16494105256141 41.3813311407823, 2.16469378216591 41.3816844958517))"
"01","Ciutat Vella","01","el Raval","006","016","POLYGON ((430108.568908575 4581735.60695651, 430089.196928439 4581737.78811071, 430066.622397613 4581545.52432236, 430065.9223539 4581540.03332885, 430063.051151955 4581514.67135592, 430057.37475454 4581464.76040942, 430070.183733635 4581462.34530763, 430128.97105634 4581503.7418318, 430185.460372572 4581544.28837444, 430193.433412884 4581549.46930998, 430233.518632712 4581577.66698553, 430178.371195842 4581647.37541407, 430108.568908575 4581735.60695651))","POLYGON ((2.1640957832619 41.3841117981164, 2.16386386562931 41.3841297598732, 2.16361609114388 41.382396140202, 2.16360835339451 41.3823466237454, 2.16357694531392 41.3821179470558, 2.1635148252655 41.3816679217918, 2.16366827845828 41.3816472831553, 2.16436650558277 41.3820252358133, 2.16503735803066 41.3823953293669, 2.16513210682978 41.3824426842209, 2.16560821999141 41.3827001287143, 2.16494070346411 41.3833231861098, 2.1640957832619 41.3841117981164))"
"01","Ciutat Vella","01","el Raval","006","017","POLYGON ((430324.760700986 4581462.33727651, 430233.518632712 4581577.66698553, 430193.433412884 4581549.46930998, 430185.460372572 4581544.28837444, 430128.97105634 4581503.7418318, 430155.971749015 4581465.64962265, 430176.269431884 4581426.22146721, 430189.3972276 4581400.82436665, 430253.852267725 4581406.8898514, 430255.986280431 4581408.5168341, 430324.760700986 4581462.33727651))","POLYGON ((2.16671260527435 41.3816692973887, 2.16560821999141 41.3827001287143, 2.16513210682978 41.3824426842209, 2.16503735803066 41.3823953293669, 2.16436650558277 41.3820252358133, 2.16469378216591 41.3816844958517, 2.16494105256141 41.3813311407823, 2.16510096459999 41.3811035363262, 2.16587103733758 41.3811637561757, 2.16589636921391 41.3811785948824, 2.16671260527435 41.3816692973887))"
"01","Ciutat Vella","01","el Raval","007","018","POLYGON ((430316.6509079 4581738.8392958, 430289.279179914 4581772.49950868, 430178.371195842 4581647.37541407, 430233.518632712 4581577.66698553, 430324.760700986 4581462.33727651, 430406.555865651 4581358.94564091, 430449.917182233 4581399.32428827, 430475.972343354 4581419.93807697, 430512.196555683 4581447.13278344, 430412.838632913 4581580.56155429, 430393.811052555 4581632.85669753, 430316.6509079 4581738.8392958))","POLYGON ((2.16658382728753 41.384158961166, 2.16625262061363 41.3844597566108, 2.16494070346411 41.3833231861098, 2.16560821999141 41.3827001287143, 2.16671260527435 41.3816692973887, 2.16770261672522 41.3807451604176, 2.16821650633215 41.3811125877647, 2.1685257162913 41.3813005016299, 2.1689557784887 41.381548565294, 2.16775229800702 41.3827417291713, 2.1675187478658 41.3832110890832, 2.16658382728753 41.384158961166))"
"01","Ciutat Vella","01","el Raval","007","019","POLYGON ((430773.903320069 4581547.13167862, 430744.581792048 4581605.81390297, 430706.032621521 4581583.8252142, 430680.114472068 4581564.67942418, 430627.175185414 4581527.90485267, 430577.961920572 4581493.92225097, 430548.976766972 4581474.2054855, 430530.524663118 4581460.89263493, 430512.196555683 4581447.13278344, 430475.972343354 4581419.93807697, 430449.917182233 4581399.32428827, 430406.555865651 4581358.94564091, 430389.429717415 4581340.08978067, 430359.360702618 4581337.75102098, 430372.907575912 4581322.08691547, 430435.230992974 4581250.0234301, 430436.378996265 4581250.45442087, 430487.377131666 4581268.248011, 430569.694377743 4581300.41734884, 430582.757409805 4581304.64624391, 430610.085482128 4581314.15102427, 430668.818664122 4581337.90655167, 430693.170733682 4581347.01635584, 430719.462811818 4581357.23214435, 430749.465879601 4581366.20990344, 430773.592925901 4581372.40070988, 430787.511948819 4581375.4965983, 430795.244970055 4581378.28253612, 430862.423233483 4581412.3759944, 430773.903320069 4581547.13167862))","POLYGON ((2.17207394065102 41.3824717851979, 2.17171659095733 41.3829977946371, 2.17125811006986 41.3827964299334, 2.17095035563152 41.3826217569399, 2.17032148796118 41.3822859766384, 2.16973686433209 41.3819756608646, 2.16939250681223 41.3817955765094, 2.16917337521497 41.3816740787528, 2.1689557784887 41.381548565294, 2.1685257162913 41.3813005016299, 2.16821650633215 41.3811125877647, 2.16770261672522 41.3807451604176, 2.16749998456018 41.3805738500365, 2.16714068266631 41.3805501835423, 2.16730447825521 41.380410274233, 2.16805802316478 41.3797666114951, 2.16807170155521 41.3797705925478, 2.16867949811889 41.3799352613926, 2.16966016782865 41.3802321081754, 2.16981589277979 41.3802713236592, 2.17014159716041 41.3803592875843, 2.17084121958373 41.3805783094953, 2.17113138443204 41.3806624567656, 2.17144462265396 41.3807567316261, 2.17180238018564 41.3808401744947, 2.17209019003824 41.3808980094648, 2.17225628365076 41.3809270906682, 2.17234843896748 41.3809528479491, 2.17314788475384 41.3812656929293, 2.17207394065102 41.3824717851979))"
"01","Ciutat Vella","01","el Raval","007","020","POLYGON ((430379.829527474 4581817.50677883, 430324.035614626 4581827.54322236, 430289.279179914 4581772.49950868, 430316.6509079 4581738.8392958, 430393.811052555 4581632.85669753, 430412.838632913 4581580.56155429, 430512.196555683 4581447.13278344, 430530.524663118 4581460.89263493, 430548.976766972 4581474.2054855, 430577.961920572 4581493.92225097, 430627.175185414 4581527.90485267, 430680.114472068 4581564.67942418, 430706.032621521 4581583.8252142, 430744.581792048 4581605.81390297, 430742.639823286 4581609.69791783, 430656.358212015 4581782.36957804, 430593.727839897 4581734.73308562, 430545.07353003 4581695.11948035, 430519.871693862 4581715.25167814, 430511.291763465 4581723.8387452, 430498.829871076 4581737.12784246, 430483.508010044 4581754.30196191, 430456.542349502 4581796.42017018, 430447.349425705 4581805.82524199, 430433.741485947 4581813.15934937, 430379.829527474 4581817.50677883))","POLYGON ((2.1673303306208 41.384872964093, 2.16666193895924 41.384958528736, 2.16625262061363 41.3844597566108, 2.16658382728753 41.384158961166, 2.1675187478658 41.3832110890832, 2.16775229800702 41.3827417291713, 2.1689557784887 41.381548565294, 2.16917337521497 41.3816740787528, 2.16939250681223 41.3817955765094, 2.16973686433209 41.3819756608646, 2.17032148796118 41.3822859766384, 2.17095035563152 41.3826217569399, 2.17125811006986 41.3827964299334, 2.17171659095733 41.3829977946371, 2.17169292372132 41.3830326096027, 2.17064135143917 41.3845803777864, 2.16989781659628 41.3841459297834, 2.16932050840076 41.383784943383, 2.16901681678477 41.3839640916661, 2.16891322625183 41.384040691646, 2.16876267238385 41.3841593058841, 2.16857747025646 41.3843126639655, 2.16825015720295 41.3846896788172, 2.16813913995487 41.3847735925912, 2.16797556118206 41.3848384719613, 2.1673303306208 41.384872964093))"
